RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,i12_health_21_ph,i12_health_22_ph,i12_health_23_ph,m1_1,m1_2,m1_3,m1_4,m2,m3,m4_1,m4_2,m4_3,m4_4,m4_96,m4_99,m4_other,m5_1,m5_2,m6_1,m6_2,m6_3,m6_4,m6_5,m6_6,m6_7,m6_8,m6_96,m6_other,m7_1,m7_2,m7_3,m7_4,m7_5,m7_6,m7_8,m7_9,m7_10,m7_11,m8_1,m8_2,m8_3,m8_4,m8_5,m8_6,m8_7,m8_8,m8_96,m8_99,m8_other,m9_1,m9_2,m9_3,m9_4,m9_5,m9_6,m9_7,m10,m11,m12_1,m12_2,m12_3,m12_4,m12_5,m12_6,m12_7,m12_8,m12_96,m12_99,m12_other,m13_1,m13_2,m13_3,m13_4,m13_5,m13_6,m13_8,m13_9,m13_10,m13_11,v1,v2_1,v2_2,v2_3,v2_4,v2_5,v2_99,v3,v3_open,v4_1,v4_2,v4_3,v4_4,v4_5,v4_96,v4_99,v3_other
3626,29/05/2020 23:11,week 4,0,55,8,Yes,Sometimes,No,Yes,Somewhat easy,Neither willing nor unwilling,Frequently,Not at all,Frequently,Frequently,Always,Frequently,Frequently,Sometimes, ,Always,Frequently,Rarely,Sometimes,Rarely,Sometimes,Always,Always,Sometimes,Frequently,Not at all,5, , , , , , , , , , , , , ,__NA__,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"Yes, and I tested negative","Yes, and they have not received their results from the test yet",No,No,Yes,No,No,No,No,1.45636353,Male,22,Soccsksargen,2,4,Part time employment,8,Several days,Prefer not to say,Not at all,Several days,Frequently,Frequently,Frequently,Very unwilling,Very willing,Quite willing,Not sure,1,1,No,Yes,No,No,No,No,__NA__,Very easy, , , , , , , , , , ,__NA__,Very much,Somewhat,Very much,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Not sure,No,No,No,No,No,No,Yes,No,No,No,__NA__,More,More,Less,More,About the same,Not sure,About the same,No,Not very willing, , , , , , , , , , ,__NA__, , , , , , , , , , ,No, , , , , , , ,__NA__,No,Yes,No,No,No,No,No,__NA__
3627,29/05/2020 23:12,week 4,3,5,2, , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Frequently, ,Frequently,Frequently,Frequently,Always,Always,Always,Frequently,Rarely,Sometimes,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.932121532,Male,31,Ilocos Region,4,0,Full time employment,7,Not at all,Not at all,Several days,Several days,Frequently,Always,Sometimes,Very willing,Very willing,Very willing,Very willing,7,7,No,Yes,No,No,No,No,__NA__,Very easy, , , , , , , , , , ,__NA__,Very much,Not at all,Not at all,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Very much,No,No,No,No,No,No,No,No,No,Yes,__NA__,About the same,About the same,About the same,About the same,About the same,About the same,About the same,No,Quite willing, , , , , , , , , , ,__NA__, , , , , , , , , , ,No, , , , , , , ,__NA__,No,Yes,Yes,Yes,Yes,No,No,__NA__
3628,29/05/2020 23:12,week 4,4,6,0, , , ,Yes,Very difficult,Very willing,Always,Frequently,Always,Always,Always,Frequently,Frequently,Frequently, ,Always,Frequently,Frequently,Always,Always,Always,Always,Rarely,Rarely,Frequently,Always,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.199796204,Female,34,Central Luzon,5,2,Not working,5,Several days,Not at all,Not at all,Several days,Frequently,Sometimes,Rarely,Very willing,Very willing,Very willing,Very willing,0, , , , , , , ,__NA__, , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , , , , , , ,__NA__, , , , , , , ,No,Not very willing,Yes,No,No,No,No,No,No,No,No,No,__NA__,Definitely would feel this way,Definitely would not feel this way,Definitely would not feel this way,Definitely would not feel this way,Definitely would feel this way,Possibly would feel this way,Definitely would not feel this way,Definitely would feel this way,Definitely would not feel this way,Definitely would not feel this way,No, , , , , , , ,__NA__,No,Yes,Yes,Yes,No,No,No,__NA__
3629,29/05/2020 23:12,week 4,2,0,0, , , ,Yes,Neither easy nor difficult,Somewhat willing,Frequently,Always,Sometimes,Rarely,Always,Always,Always,Frequently, ,Not at all,Always,Always,Always,Always,Always,Always,Rarely,Rarely,Frequently,Rarely,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.245971215,Female,31,Central Visayas,6,2,Retired,5,Several days,Several days,Several days,Several days,Frequently,Always,Frequently,Neither willing or unwilling,Very willing,Neither willing or unwilling,Very willing,0, , , , , , , ,__NA__, , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , , , , , , ,__NA__, , , , , , , ,No,Quite willing,No,No,No,No,No,No,No,Yes,No,No,__NA__,Possibly would feel this way,Possibly would feel this way,Definitely would not feel this way,Possibly would feel this way,Definitely would feel this way,Possibly would feel this way,Definitely would not feel this way,Definitely would feel this way,Definitely would not feel this way,Definitely would feel this way,No, , , , , , , ,__NA__,No,Yes,No,No,No,No,No,__NA__
3630,29/05/2020 23:12,week 4,3,9,1, , , ,No,Somewhat difficult,Very willing,Sometimes,Frequently,Always,Frequently,Always,Frequently,Always,Always, ,Always,Sometimes,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.561115569,Female,20,Cagayan Valley,4,2,Unemployed,7,More than half the days,More than half the days,More than half the days,Several days,Sometimes,Always,Always,Very willing,Very willing,Very willing,Very willing,5,2,No,Yes,No,No,No,No,__NA__,Very easy, , , , , , , , , , ,__NA__,Very much,Somewhat,Somewhat,Not at all,Very much,Not at all,Somewhat,Not at all,Somewhat,Very much,Yes,No,No,No,Yes,No,No,Yes,No,No,__NA__,More,Less,Less,Less,Less,Less,About the same,Yes,Very willing, , , , , , , , , , ,__NA__, , , , , , , , , , ,No, , , , , , , ,__NA__,Yes,Yes,Yes,Yes,No,No,No,__NA__
3631,29/05/2020 23:12,week 4,2,1,0, , , ,Not sure,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not", , , , , , , ,0.669422517,Female,40,National Capital Region (NCR),4,5 or more,Part time employment,6,Not at all,Prefer not to say,Not at all,Not at all,Always,Always,Always,Very willing,Very willing,Very willing,Very willing,0, , , , , , , ,__NA__, , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , , , , , , ,__NA__, , , , , , , ,No,Very willing,Yes,No,Yes,No,No,No,Yes,Yes,No,No,__NA__,Definitely would feel this way,Definitely would feel this way,Not sure,Definitely would feel this way,Definitely would feel this way,Not sure,Definitely would feel this way,Definitely would feel this way,Possibly would feel this way,Possibly would feel this way,Prefer not to say, , , , , , , ,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,__NA__
3632,29/05/2020 23:13,week 4,1,50,1, , , ,No,Very difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,15,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.624503759,Male,41,Northern Mindanao,5,1,Full time employment,6,Several days,Several days,Several days,Not at all,Always,Always,Always,Very willing,Very willing,Very willing,Very willing,7,7,Yes,No,Yes,No,No,No,__NA__, ,Very easy,No,No,No,No,Yes,Yes,No,No,No,__NA__,Very much,Very much,Not at all,Not at all,Very much,Not at all,Not at all,Very much,Not at all,Very much,Yes,No,No,No,No,No,No,No,No,No,__NA__,More,Less,Less,Less,Less,Less,About the same, , , , , , , , , , , , ,__NA__, , , , , , , , , , ,Yes,Yes,No,No,No,No,No,The vaccination clinic is closed or not giving vaccines due to COVID-19,__NA__,No,Yes,No,No,No,No,No,__NA__
3633,29/05/2020 23:13,week 4,0,0,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.520074276,Male,41,Calabarzon,5,1,Full time employment,9,Several days,Not at all,Several days,Several days,Always,Always,Always,Very willing,Very willing,Very willing,Very willing,0, , , , , , , ,__NA__, , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , , , , , , ,__NA__, , , , , , , ,No,Quite willing,No,No,No,No,No,No,No,No,No,Yes,__NA__,Definitely would feel this way,Possibly would feel this way,Definitely would not feel this way,Definitely would not feel this way,Definitely would feel this way,Definitely would not feel this way,Definitely would not feel this way,Possibly would feel this way,Definitely would not feel this way,Definitely would feel this way,No, , , , , , , ,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,__NA__
3634,29/05/2020 23:13,week 4,9,2,1, , , ,Yes,Somewhat easy,Somewhat willing,Frequently,Always,Always,Always,Frequently,Frequently,Always,Always,Always, ,Frequently,Sometimes,Always,Always,Always,Sometimes,Frequently,Rarely,Frequently,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.495119122,Male,46,Central Visayas,8 or more,0,Full time employment,6,Several days,More than half the days,Several days,More than half the days,Frequently,Frequently,Frequently,Very willing,Neither willing or unwilling,Quite willing,Very willing,2,2,Yes,Yes,No,No,No,No,__NA__,Quite easy, ,No,No,No,No,Yes,Yes,No,Yes,Yes,Relative gave it,Very much,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Very much,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,__NA__,About the same,More,More,About the same,More,More,More, , , , , , , , , , , , ,__NA__, , , , , , , , , , ,No, , , , , , , ,__NA__,No,Yes,No,Yes,Yes,No,No,__NA__
3635,29/05/2020 23:13,week 4,0,0,0, , , ,Yes,Somewhat difficult,Very willing,Always,Always,Frequently,Sometimes,Always,Frequently,Always,Always, , ,Frequently,Always,Always,Always,Always,Frequently,Always,Frequently,Sometimes,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.212830504,Male,23,Ilocos Region,3,0,Retired,4,More than half the days,Several days,Several days,Not at all,Always,Always,Rarely,Very willing,Very willing,Very willing,Very willing,0, , , , , , , ,__NA__, , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , , , , , , ,__NA__, , , , , , , ,No,Very willing,Yes,No,No,No,No,No,No,No,No,No,__NA__,Definitely would feel this way,Possibly would feel this way,Definitely would not feel this way,Possibly would feel this way,Definitely would feel this way,Possibly would feel this way,Possibly would feel this way,Definitely would feel this way,Possibly would feel this way,Definitely would feel this way,No, , , , , , , ,__NA__,No,Yes,Yes,Yes,Yes,No,No,__NA__
3636,29/05/2020 23:14,week 4,2,2,0,No,Always,No,Yes,Somewhat difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,Frequently,Always,Always,Sometimes,Frequently,Always,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","No, they have not",Yes,No,No,No,Yes,No,Yes,1.45636353,Male,20,Soccsksargen,5,4,Part time employment,6,Several days,Several days,More than half the days,Nearly every day,Always,Always,Frequently,Very willing,Very willing,Very willing,Very willing,1,1,No,No,No,Yes,No,No,__NA__, , , , , , , , , , , ,__NA__,Very much,Not at all,Somewhat,Not at all,Very much,Somewhat,Somewhat,Very much,Not at all,Very much,Yes,No,No,No,No,No,No,No,No,No,__NA__,More,More,Less,Not sure,Less,Not sure,Less,Yes,Not very willing, , , , , , , , , , ,__NA__, , , , , , , , , , ,No, , , , , , , ,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,__NA__
3637,29/05/2020 23:14,week 4,9,0,0, , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Always,Always,Not at all,Not at all,Frequently, ,Always,Sometimes,Not at all,Not at all,Not at all,Frequently,Not at all,Not at all,Not at all,Rarely,Rarely,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.45636353,Male,22,Zamboanga Peninsula,8 or more,3,Unemployed,2,Not at all,Not at all,Several days,Several days,Not at all,Rarely,Not at all,Very willing,Very willing,Quite willing,Quite willing,1,1,Yes,No,No,No,No,No,__NA__, , ,Yes,No,No,Yes,No,Yes,No,Yes,No,__NA__,Very much,Not at all,Not at all,Not at all,Somewhat,Not at all,Not at all,Very much,Not at all,Very much,No,No,No,No,No,No,No,No,No,Yes,__NA__,About the same,Less,Less,Less,Not sure,Less,Less, , , , , , , , , , , , ,__NA__, , , , , , , , , , ,No, , , , , , , ,__NA__,No,Yes,Yes,No,No,No,No,__NA__
3638,29/05/2020 23:14,week 4,6,0,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Frequently,Always,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.895933449,Female,69,Calabarzon,8 or more,0,Not working,7,Nearly every day,Not at all,Not at all,Not at all,Always,Always,Not at all,Very willing,Very willing,Very willing,Very willing,0, , , , , , , ,__NA__, , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , , , , , , ,__NA__, , , , , , , ,Yes,Very willing,No,No,No,No,No,No,No,No,No,Yes,__NA__,Possibly would feel this way,Definitely would not feel this way,Definitely would not feel this way,Definitely would not feel this way,Possibly would feel this way,Not sure,Not sure,Possibly would feel this way,Definitely would not feel this way,Possibly would feel this way,No, , , , , , , ,__NA__,Yes,Yes,Yes,Yes,No,No,No,__NA__
3639,29/05/2020 23:14,week 4,0,0,0, , , ,Not sure,Not sure,Not sure,Frequently,Always,Always,Sometimes,Sometimes,Frequently,Always,Not at all, , ,Not at all,Rarely,Always,Frequently,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes, , , , , , , , , ,1.199796204,Female,27,Calabarzon,Prefer not to say,Prefer not to say,Other,0,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Frequently,Frequently,Not at all,Very willing,Very willing,Very willing,Very willing,2,2,Yes,No,Yes,No,No,No,__NA__, ,Very easy,No,Yes,No,No,No,No,No,No,No,__NA__,Very much,Not at all,Somewhat,Not at all,Very much,Not sure,Somewhat,Very much,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,Yes,__NA__,More,More,Not sure,Not sure,About the same,Not sure,Less, , , , , , , , , , , , ,__NA__, , , , , , , , , , ,No, , , , , , , ,__NA__,No,No,No,No,No,No,Yes,__NA__
3640,29/05/2020 23:15,week 4,0,1,0, , , ,No,Somewhat easy,Very willing,Always,Frequently,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.669422517,Female,38,Central Luzon,8 or more,4,Full time employment,5,Nearly every day,Several days,Not at all,Several days,Frequently,Sometimes,Sometimes,Very willing,Very willing,Very willing,Very willing,1,1,No,No,Yes,No,No,No,__NA__, ,Very easy, , , , , , , , , ,__NA__,Very much,Not at all,Not at all,Not at all,Very much,Not at all,Not at all,Very much,Not at all,Very much,Yes,No,No,No,No,No,No,No,No,No,__NA__,More,Less,Less,Not sure,About the same,Less,Less,No,Very willing, , , , , , , , , , ,__NA__, , , , , , , , , , ,Not sure, , , , , , , ,__NA__,No,No,Yes,No,No,No,No,__NA__
3641,29/05/2020 23:15,week 4,4,15,0, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Always,8,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.520074276,Male,41,Calabarzon,5,3,Full time employment,8,Several days,Several days,Several days,Several days,Frequently,Always,Sometimes,Very willing,Very willing,Very willing,Very willing,0, , , , , , , ,__NA__, , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , , , , , , ,__NA__, , , , , , , ,Yes,Very willing,No,No,Yes,No,Yes,Yes,Yes,No,No,No,__NA__,Possibly would feel this way,Definitely would not feel this way,Definitely would not feel this way,Definitely would not feel this way,Possibly would feel this way,Possibly would feel this way,Possibly would feel this way,Possibly would feel this way,Definitely would not feel this way,Possibly would feel this way,No, , , , , , , ,__NA__,No,Yes,Yes,Yes,Yes,No,No,__NA__
3642,29/05/2020 23:16,week 4,4,4,1, , , ,Not sure,Not sure,Not sure,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure, , , , , , , ,1.212830504,Male,20,Central Luzon,Prefer not to say,4,Other,0,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Not at all,Not at all,Not at all,Not sure,Not sure,Not sure,Not sure,1,2,No,No,No,No,No,Yes,__NA__, , , , , , , , , , , ,__NA__,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,No,No,No,No,No,No,No,No,No,Yes,__NA__,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure, , , , , , , , , , ,__NA__, , , , , , , , , , ,Prefer not to say, , , , , , , ,__NA__,No,No,No,No,No,No,Yes,__NA__
3643,29/05/2020 23:16,week 4,9,1,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Rarely,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,15, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.669422517,Female,38,National Capital Region (NCR),8 or more,2,Retired,7,Several days,Nearly every day,Not at all,Nearly every day,Not at all,Always,Not at all,Very willing,Very willing,Very willing,Very willing,2,2,No,Yes,Yes,No,No,No,__NA__,Very easy,Very easy, , , , , , , , , ,__NA__,Very much,Not at all,Not at all,Not at all,Very much,Not at all,Not at all,Very much,Not at all,Very much,No,No,No,No,No,No,No,No,No,Yes,__NA__,More,About the same,Less,Less,Less,Less,Less,No,Very willing, , , , , , , , , , ,__NA__, , , , , , , , , , ,No, , , , , , , ,__NA__,No,Yes,Yes,Yes,Yes,No,No,__NA__
3644,29/05/2020 23:16,week 4,5,8,1, , , ,Not sure,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Always,Always, ,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Always,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.44071198,Female,29,Davao Region,5,0,Full time employment,8,Several days,Several days,Not at all,Several days,Frequently,Always,Sometimes,Very willing,Very willing,Very willing,Very willing,5,7,No,Yes,No,No,No,No,__NA__,Very easy, , , , , , , , , , ,__NA__,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,No,No,No,Yes,No,No,No,No,No,__NA__,More,About the same,About the same,About the same,About the same,About the same,About the same,Yes,Quite willing, , , , , , , , , , ,__NA__, , , , , , , , , , ,Not sure, , , , , , , ,__NA__,No,Yes,No,No,No,No,No,__NA__
3645,29/05/2020 23:17,week 4,7,45,1, , , ,Yes,Somewhat difficult,Very willing,Always,Frequently,Frequently,Always,Always,Always,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Always,Frequently,Sometimes,Sometimes,Frequently,Frequently,6,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.520074276,Male,38,Bicol Region,8 or more,5 or more,Full time employment,8,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Always,Always,Sometimes,Very willing,Very willing,Very willing,Very willing,7,7,Yes,Yes,No,Yes,No,No,__NA__,Quite easy, ,No,Yes,Yes,No,No,Yes,No,Yes,No,__NA__,Very much,Not at all,Not at all,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Very much,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,__NA__,More,Less,About the same,About the same,Less,Less,About the same, , , , , , , , , , , , ,__NA__, , , , , , , , , , ,No, , , , , , , ,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,__NA__
3646,29/05/2020 23:18,week 4,1,0,2, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Frequently,Frequently,Frequently,Always,Sometimes,Always,Always, , ,Frequently,Frequently,Always,Always,Always,Rarely,Not at all,Not at all,Sometimes,Frequently,18, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.476770278,Male,53,Central Luzon,2,0,Retired,0,Nearly every day,Nearly every day,Nearly every day,More than half the days,Always,Always,Not at all,Very willing,Very willing,Very willing,Very willing,4,4,No,No,Yes,No,No,No,__NA__, ,Quite easy, , , , , , , , , ,__NA__,Very much,Not at all,Not at all,Not at all,Very much,Somewhat,Somewhat,Very much,Not at all,Very much,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,__NA__,About the same,Less,More,About the same,About the same,About the same,About the same,No,Very willing, , , , , , , , , , ,__NA__, , , , , , , , , , ,No, , , , , , , ,__NA__,No,No,No,No,No,No,Yes,__NA__
3647,29/05/2020 23:19,week 4,2,50,1, , , ,Not sure,Very easy,Very willing,Always,Always,Frequently,Always,Rarely,Not at all,Not at all,Rarely,Not at all, ,Frequently,Frequently,Frequently,Always,Sometimes,Frequently,Not at all,Not at all,Always,Frequently,8,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.44071198,Female,29,Northern Mindanao,Prefer not to say,Prefer not to say,Full time employment,7,Several days,Several days,Several days,Not at all,Frequently,Frequently,Not at all,Very willing,Very willing,Very willing,Very willing,7,7,No,Yes,Yes,No,No,No,__NA__,Very easy,Quite easy, , , , , , , , , ,__NA__,Very much,Not at all,Not at all,Not at all,Very much,Somewhat,Somewhat,Very much,Not at all,Very much,Yes,No,Yes,No,No,No,No,No,No,No,__NA__,More,Less,About the same,Not sure,About the same,About the same,About the same,No,Not at all willing, , , , , , , , , , ,__NA__, , , , , , , , , , ,No, , , , , , , ,__NA__,No,Yes,Yes,Yes,No,No,No,__NA__
3648,29/05/2020 23:19,week 4,0,0,2, , , ,Not sure,Very difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.932121532,Male,25,Calabarzon,5,1,Other,10,Several days,Not at all,Not at all,Nearly every day,Always,Always,Frequently,Very willing,Very willing,Very willing,Very willing,3,3,No,No,Yes,No,No,No,__NA__, ,Very easy, , , , , , , , , ,__NA__,Very much,Not at all,Not at all,Not at all,Very much,Not at all,Somewhat,Very much,Not at all,Very much,No,No,No,No,No,No,No,No,No,Yes,__NA__,Less,Less,Less,Not sure,Less,Less,Less,Not sure,Very willing, , , , , , , , , , ,__NA__, , , , , , , , , , ,Yes,No,No,No,No,No,Yes,Something else,Government is too late to respond,No,Yes,Yes,Yes,Yes,No,No,__NA__
3649,29/05/2020 23:19,week 4,2,10,1,No,Not at all,Yes,No,Very difficult,Very unwilling,Always,Always,Always,Always,Always,Rarely,Always,Always,Rarely, ,Always,Always,Always,Always,Rarely,Always,Always,Always,Rarely,Always,3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Services,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.932121532,Male,28,National Capital Region (NCR),3,0,Full time employment,5,Not at all,Not at all,Not at all,Not at all,Always,Always,Rarely,Very willing,Very willing,Very willing,Very willing,7,7,No,Yes,No,No,No,No,__NA__,Very easy, , , , , , , , , , ,__NA__,Very much,Not at all,Not at all,Not at all,Very much,Somewhat,Somewhat,Very much,Not at all,Very much,Yes,No,Yes,No,No,No,Yes,Yes,No,No,__NA__,About the same,About the same,About the same,Not sure,Not sure,About the same,About the same,Yes,Quite willing, , , , , , , , , , ,__NA__, , , , , , , , , , ,Not sure, , , , , , , ,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,__NA__
