RecordNo,endtime,qweek,gender,region,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,age,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,WCRex2,WCRV_4,CORE_B2_4,WCRex1,i12_health_21,i12_health_22,i12_health_23,i12_health_24,i12_health_25,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r1_7
3543,25/06/2020 19:06,week 5,Male,Hokkaidō,0,1,1, , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Always,Frequently,Always, ,Frequently,Always,Always,Always,Frequently,Frequently,Always,Not at all,Sometimes,Sometimes,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No, ,"No, they have not",No,No,No,No,No,Yes, ,0.747513082,39,1,0,Part time employment,6,Several days,Several days,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same,Very badly,Sometimes,Always,Always,Sometimes,Always,4,4,1 – Disagree,1 – Disagree,7 - Agree,7 - Agree,7 - Agree
3544,25/06/2020 19:07,week 5,Male,Chūgoku,1,1,1, , , ,No,Somewhat easy,Somewhat willing,Frequently,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Not at all,Not at all, ,Frequently,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Not at all,Frequently,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.747513082,43,1,0,Full time employment,9,Several days,Several days,Several days,More than half the days,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now,Somewhat well,Sometimes,Frequently,Sometimes,Sometimes,Frequently,5,1 – Disagree,5,5,5,6,4
3545,25/06/2020 19:07,week 5,Male,Tōhoku,2,10,1, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Rarely,Sometimes,Always,Rarely,Always,Frequently, , ,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.747513082,43,3,0,Unemployed,5,Several days,Several days,Several days,Prefer not to say,A lot of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat well,Not at all,Always,Always, ,Always,7 - Agree,4,4,4,3,6,5
3546,25/06/2020 19:07,week 5,Female,Kansai,2,10,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Not at all,Sometimes,Always,Not at all,Not at all, ,Always,Always,Always,Always,Sometimes,Sometimes,Not at all,Rarely,Frequently,Frequently,7,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.987800567,43,3,0,Full time employment,4,Not at all,Not at all,Not at all,Not at all,A lot of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat well,Not at all,Always,Always,Always,Always,7 - Agree,5,2,4,5,7 - Agree,5
3547,25/06/2020 19:07,week 5,Male,Kyūshū,0,0,3, , , ,Yes,Very difficult,Somewhat willing,Sometimes,Always,Not at all,Always,Frequently,Rarely,Frequently,Always, , ,Rarely,Frequently,Frequently,Always,Always,Sometimes,Rarely,Frequently,Sometimes,Frequently,5, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.83031303,22,1,0,Full time student,8,Several days,Several days,Several days,Several days,Not very much confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same,Very badly,Not at all,Rarely,Rarely, ,Frequently,6,4,3,2,5,5,7 - Agree
3548,25/06/2020 19:08,week 5,Male,Kansai,0,5,2, , , ,Yes,Somewhat easy,Somewhat willing,Always,Frequently,Sometimes,Always,Frequently,Sometimes,Rarely,Sometimes,Sometimes, ,Sometimes,Sometimes,Frequently,Always,Frequently,Sometimes,Rarely,Rarely,Sometimes,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.779304361,29,1,0,Full time employment,6,Several days,Prefer not to say,Several days,Prefer not to say,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same,Very badly,Rarely,Always,Always,Always,Always,4,3,4,5,4,5,4
3549,25/06/2020 19:09,week 5,Male,Hokkaidō,5,4,1, , , ,Yes,Somewhat easy,Somewhat willing,Sometimes,Frequently,Rarely,Sometimes,Rarely,Always,Sometimes,Sometimes, , ,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Rarely,Sometimes,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.004251211,65,2,0,Retired,8,Several days,Several days,Several days,Several days,Not very much confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same,Very badly,Not at all,Always,Always, ,Always,7 - Agree,6,1 – Disagree,5,7 - Agree,7 - Agree,7 - Agree
3550,25/06/2020 19:10,week 5,Male,Kyūshū,2,7,0, , , ,Yes,Somewhat easy,Very willing,Frequently,Rarely,Not at all,Always,Always,Sometimes,Rarely,Always, , ,Always,Always,Always,Always,Always,Rarely,Always,Frequently,Rarely,Frequently,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.747513082,41,3,0,Unemployed,5,Several days,More than half the days,Nearly every day,Nearly every day,A lot of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same,Very well,Rarely,Frequently,Not at all, ,Not at all,7 - Agree,6,4,6,4,7 - Agree,6
3551,25/06/2020 19:10,week 5,Male,Kansai,6,6,2, , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Frequently,Always,Frequently,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Frequently,Frequently,Sometimes,Rarely,Not at all,Always,Sometimes,6,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.795792065,49,7,3,Full time employment,6,Several days,Several days,Several days,Several days,A fair amount of confidence,I am not very scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now,Somewhat badly,Not at all,Always,Always,Frequently,Always,5,5,3,4,6,7 - Agree,7 - Agree
3552,25/06/2020 19:11,week 5,Male,Chūbu,2,2,3, , , ,Yes,Somewhat easy,Very willing,Always,Sometimes,Always,Always,Always,Sometimes,Always,Frequently,Sometimes, ,Frequently,Sometimes,Frequently,Always,Frequently,Frequently,Not at all,Sometimes,Frequently,Always,8,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.779304361,30,3,0,Full time employment,7,Several days,Several days,Several days,Several days,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now,Very well,Frequently,Always,Always,Frequently,Always,5,3,5,5,3,6,3
3553,25/06/2020 19:12,week 5,Male,Kansai,0,1,1, , , ,Yes,Somewhat difficult,Very willing,Always,Always,Not at all,Always,Frequently,Frequently,Always,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Rarely,Always,Always,Frequently,8,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.795792065,48,1,0,Full time employment,2,Several days,More than half the days,Several days,Not at all,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),Somewhat less happy now,Somewhat badly,Sometimes,Always,Always,Always,Always,5,4,3,3,5,5,4
3554,25/06/2020 19:14,week 5,Male,Chūgoku,2,15,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Not at all,Sometimes,Not at all,Not at all,Rarely, ,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Not at all,Not at all,8,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.747513082,37,3,0,Full time employment,1,Several days,Not at all,Not at all,Not at all,A lot of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat well,Not at all,Always,Not at all,Always,Not at all,5,6,1 – Disagree,1 – Disagree,7 - Agree,5,5
3555,25/06/2020 19:14,week 5,Male,Kansai,1,15,5, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Sometimes,Frequently,Always,Sometimes, ,Sometimes,Frequently,Frequently,Always,Always,Sometimes,Always,Frequently,Sometimes,Frequently,10,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.004251211,64,2,0,Full time employment,5,Several days,Several days,Several days,Several days,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat badly,Rarely,Always,Always,Always,Always,5,2,2,2,5,5,4
3556,25/06/2020 19:14,week 5,Female,Kansai,3,10,1, , , ,Yes,Very difficult,Neither willing nor unwilling,Always,Always,Sometimes,Always,Always,Sometimes,Frequently,Always, , ,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes,30, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.327066963,59,4,0,Not working,7,Several days,Several days,Several days,Several days,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat well,Not at all,Always,Always, ,Always,4,3,5,5,3,5,5
3557,25/06/2020 19:15,week 5,Male,Kantō,0,0,1, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes, ,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.795792065,46,1,0,Full time employment,5,Not at all,Not at all,Not at all,Not at all,Not very much confidence,I am not very scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat badly,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,4,4,4,4,4,4,4
3558,25/06/2020 19:17,week 5,Female,Tōhoku,2,5,1, , , ,Yes,Very easy,Very willing,Always,Sometimes,Rarely,Always,Frequently,Rarely,Always,Frequently,Rarely, ,Rarely,Sometimes,Always,Always,Sometimes,Rarely,Always,Frequently,Rarely,Always,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.987800567,38,3,0,Full time employment,7,Several days,Several days,Several days,Several days,A fair amount of confidence,I am not very scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now,Somewhat well,Not at all,Always,Always,Always,Always,6,5,2,4,6,7 - Agree,2
3559,25/06/2020 19:17,week 5,Female,Chūbu,5,50,3, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Frequently,Frequently,Sometimes,Rarely,Always,Rarely,Rarely,Frequently,Rarely,Sometimes,Frequently,Always,Sometimes,Rarely,Rarely,Sometimes,Rarely,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.05159879,45,5,3,Full time employment,8,Not at all,Not at all,Not at all,Not at all,A fair amount of confidence,I am not very scared that I will contract the Coronavirus (COVID-19),About the same,Very badly,Sometimes,Always,Always,Always,Always,4,4,3,4,4,7 - Agree,2
3560,25/06/2020 19:19,week 5,Male,Kansai,1,10,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Rarely,Rarely,Rarely, , ,Sometimes,Not at all,Frequently,Always,Frequently,Rarely,Always,Always,Rarely,Rarely,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.795792065,48,2,0,Unemployed,0,Several days,More than half the days,Several days,More than half the days,A fair amount of confidence,I am not very scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat well,Not at all,Always,Always, ,Always,2,2,2,4,5,6,2
3561,25/06/2020 19:19,week 5,Female,Kansai,3,0,1, , , ,Not sure,Not sure,Not sure,Not at all,Frequently,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all, ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes, , , , , , , , , ,0.987800567,42,Prefer not to say,2,Not working,1,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Don't know,Don't know,Don't know,Don't know,Not at all,Not at all,Not at all, ,Not at all,7 - Agree,1 – Disagree,1 – Disagree,1 – Disagree,7 - Agree,7 - Agree,1 – Disagree
3562,25/06/2020 19:21,week 5,Female,Tōhoku,1,30,1, , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Always,Frequently,Not at all,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Not at all,Rarely,Sometimes,Frequently,0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure, , , , , , , ,1.029811127,31,2,0,Full time employment,6,Not at all,Not at all,Not at all,Not at all,Not very much confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat badly,Rarely,Always,Always,Always,Rarely,4,4,6,5,4,6,6
3563,25/06/2020 19:26,week 5,Male,Kyūshū,3,0,3, , , ,No,Very difficult,Very unwilling,Always,Always,Always,Always,Always,Rarely,Not at all,Always,Not at all, ,Rarely,Not at all,Not at all,Always,Always,Rarely,Not at all,Not at all,Not at all,Not at all,2,No,No,No,No,No,No,Yes,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.004251211,57,1,0,Full time employment,3,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),Somewhat less happy now,Very badly,Rarely,Always,Always,Always,Always,5,3,5,5,5,7 - Agree,3
3564,25/06/2020 19:26,week 5,Female,Tōhoku,4,4,7, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Rarely,Always,Always,Sometimes,Always,Always,Always,Rarely,Rarely,Rarely,Always,Always,Always,Sometimes,Always,Sometimes,Always,Always,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.05159879,49,5,3,Full time employment,3,Several days,Several days,More than half the days,More than half the days,Not very much confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same,Very badly,Sometimes,Always,Always,Always,Always,7 - Agree,7 - Agree,5,5,5,7 - Agree,7 - Agree
3565,25/06/2020 19:27,week 5,Male,Hokkaidō,2,5,2, , , ,Yes,Somewhat easy,Somewhat willing,Frequently,Sometimes,Sometimes,Always,Frequently,Sometimes,Rarely,Frequently,Sometimes, ,Sometimes,Frequently,Frequently,Always,Frequently,Sometimes,Rarely,Sometimes,Sometimes,Rarely,2,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.747513082,38,3,0,Full time employment,3,Several days,Several days,More than half the days,Several days,A fair amount of confidence,I am not very scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat well,Not at all,Frequently,Frequently,Frequently,Frequently,3,4,4,5,3,4,4
3566,25/06/2020 19:30,week 5,Female,Chūbu,2,0,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Frequently,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,5,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.987800567,38,3,0,Full time employment,3,More than half the days,Several days,More than half the days,Nearly every day,No confidence at all,I am fairly scared that I will contract the Coronavirus (COVID-19),Much less happy now,Very badly,Always,Always,Always,Always,Always,7 - Agree,7 - Agree,1 – Disagree,2,7 - Agree,7 - Agree,7 - Agree
3567,25/06/2020 19:31,week 5,Female,Kansai,1,20,1, , , ,Yes,Neither easy nor difficult,Somewhat willing,Frequently,Frequently,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Sometimes, ,Sometimes,Sometimes,Frequently,Always,Frequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.987800567,39,2,0,Part time employment,6,Several days,Several days,Several days,Several days,Don't know,I am very scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat badly,Not at all,Always,Always,Frequently,Always,4,4,4,4,4,4,5
3568,25/06/2020 19:31,week 5,Male,Kansai,2,0,0, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely, , ,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.779304361,32,3,0,Unemployed,1,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not very much confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat badly,Rarely,Rarely,Rarely, ,Rarely,4,4,4,4,4,4,4
3569,25/06/2020 19:31,week 5,Male,Kansai,4,350,3, , , ,No,Not sure,Not sure,Always,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes, ,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,4,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.779304361,28,Don't know,0,Full time employment,3,Several days,Not at all,Not at all,Several days,Don't know,Don't know,Don't know,Don't know,Not at all,Always,Not at all,Always,Always,4,4,4,4,4,4,4
3570,25/06/2020 19:32,week 5,Female,Hokkaidō,1,0,1, , , ,Yes,Very easy,Very willing,Always,Always,Not at all,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Always,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.029811127,31,2,0,Not working,6,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,A fair amount of confidence,I am not very scared that I will contract the Coronavirus (COVID-19),About the same,Very badly,Not at all,Always,Always, ,Always,4,4,2,2,2,6,1 – Disagree
3571,25/06/2020 19:34,week 5,Female,Chūgoku,2,0,0, , , ,Yes,Very easy,Very willing,Frequently,Frequently,Sometimes,Always,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Always,Frequently,Sometimes,Frequently,Always,Frequently,Sometimes,Not at all,Always,Rarely,Frequently,7,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.029811127,27,3,1,Part time employment,7,Not at all,Not at all,Not at all,Not at all,A lot of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),Somewhat more happy now,Very well,Not at all,Always,Always,Sometimes,Frequently,3,2,5,6,3,6,2
3572,25/06/2020 19:37,week 5,Female,Chūbu,1,1,3, , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Rarely,Sometimes,Not at all,Not at all,Rarely,Rarely,Rarely, ,Sometimes,Frequently,Rarely,Not at all,Frequently,Sometimes,Rarely,Rarely,Rarely,Rarely,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.05159879,54,2,0,Part time employment,5,More than half the days,Several days,Several days,Several days,Not very much confidence,Not applicable - I have already contracted Coronavirus (COVID-19),About the same,Somewhat badly,Not at all,Always,Always,Frequently,Frequently,5,4,4,4,4,5,4
3573,25/06/2020 19:37,week 5,Male,Tōhoku,1,1,1, , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Frequently,Sometimes,Not at all,Frequently,Not at all,Rarely,Rarely,Rarely, , ,Not at all,Rarely,Rarely,Rarely,Frequently,Rarely,Not at all,Rarely,Rarely,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.004251211,58,2,0,Unemployed,2,Several days,Several days,Several days,More than half the days,Not very much confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same,Very badly,Rarely,Frequently,Frequently, ,Frequently,5,4,2,5,4,7 - Agree,5
3574,25/06/2020 19:38,week 5,Female,Chūbu,5,15,1, , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Rarely,Rarely,Always,Sometimes,Frequently,Always,Always,Always,Rarely,Frequently,Sometimes,Sometimes,15,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.05159879,46,6,2,Part time employment,3,Several days,Several days,Several days,Several days,Don't know,I am very scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat badly,Not at all,Always,Always,Always,Always,7 - Agree,5,3,5,4,6,5
3575,25/06/2020 19:40,week 5,Male,Chūbu,10,10,3, , , ,Yes,Somewhat difficult,Somewhat willing,Frequently,Sometimes,Rarely,Always,Always,Rarely,Not at all,Not at all,Rarely, ,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Not at all,Not at all,Rarely,10,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.004251211,58,2,0,Full time employment,6,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,A fair amount of confidence,I am very scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat badly,Not at all,Frequently,Frequently,Always,Rarely,7 - Agree,7 - Agree,1 – Disagree,3,7 - Agree,7 - Agree,4
3576,25/06/2020 19:41,week 5,Female,Kyūshū,2,3,1, , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Frequently,Sometimes,Always,Frequently, ,Frequently,Frequently,Always,Always,Always,Frequently,Always,Not at all,Rarely,Always,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,事務,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.029811127,33,1,0,Full time employment,1,Not at all,Not at all,Not at all,Not at all,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat well,Not at all,Always,Always,Always,Always,6,5,3,3,5,7 - Agree,6
3577,25/06/2020 19:41,week 5,Male,Tōhoku,4,50,1, , , ,Not sure,Somewhat easy,Neither willing nor unwilling,Not at all,Frequently,Always,Always,Always,Always,Always,Always, ,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Always,Not at all,Not at all,Frequently,Sometimes,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.004251211,73,5,1,Other,10,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Not very much confidence,I am not very scared that I will contract the Coronavirus (COVID-19),About the same,Very badly,Sometimes,Not at all,Not at all, ,Always,4,1 – Disagree,7 - Agree,7 - Agree,6,5,1 – Disagree
3578,25/06/2020 19:42,week 5,Male,Kansai,3,40,1, , , ,Not sure,Somewhat easy,Very willing,Always,Always,Frequently,Frequently,Rarely,Sometimes,Frequently,Frequently,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Not at all,Not at all,Sometimes,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.747513082,43,4,2,Full time employment,7,Not at all,Not at all,Not at all,Not at all,A fair amount of confidence,I am fairly scared that I will contract the Coronavirus (COVID-19),About the same,Somewhat well,Rarely,Always,Always,Frequently,Always,4,5,2,3,5,5,5
