RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,household_children,weight,gender,age,city,household_size,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
5244,07/05/2020 00:02,week 6,1,30,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Neither willing nor unwilling,Rarely,Frequently,Frequently,Frequently,Not at all,Sometimes,Not at all,Not at all,Rarely, ,Not at all,Rarely,Rarely,Rarely,Sometimes,Sometimes,Frequently,Frequently,Rarely,Frequently,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.143895824,Female,50,Dongguan,3,Yes,No,No,No,No,No,No,5,More than half the days,More than half the days,Several days,More than half the days
5245,07/05/2020 00:03,week 6,3,3,1, ,Not sure, , , , , , , , , , ,No,Somewhat easy,Somewhat willing,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Rarely, ,Frequently,Rarely,Sometimes,Always,Sometimes,Sometimes,Always,Rarely,Sometimes,Frequently,3,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.934588094,Male,25,Chengdu,4,Yes,Yes,No,No,No,No,No,7,Not at all,Several days,Several days,More than half the days
5246,07/05/2020 00:03,week 6,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,Always,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Frequently,5,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.913306147,Female,25,Chongqing,3,Yes,No,No,No,No,No,No,7,Several days,Several days,Several days,More than half the days
5247,07/05/2020 00:04,week 6,2,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Somewhat willing,Always,Always,Always,Always,Always,Sometimes,Frequently,Frequently,Sometimes,Always,Frequently,Always,Always,Always,Always,Sometimes,Not at all,Rarely,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.189005854,Male,35,Beijing,3,Yes,No,No,No,No,No,No,8,Not at all,Not at all,Not at all,Not at all
5248,07/05/2020 00:04,week 6,3,3,0,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.913306147,Female,28,Chengdu,Don't know,Yes,No,No,No,No,No,No,6,Not at all,Not at all,Not at all,Not at all
5249,07/05/2020 00:04,week 6,6,0,2, , ,No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Sometimes,Always,Always, ,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,Frequently,Frequently,Always,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.878273054,Female,21,Wuhan,6,No,No,No,No,No,No,Yes,5,More than half the days,Prefer not to say,Several days,Several days
5250,07/05/2020 00:05,week 6,3,2,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat difficult,Neither willing nor unwilling,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Always,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Frequently,Not at all,Sometimes,Frequently,2,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,1.139157477,Male,36,Wuzhou,5,Yes,No,No,No,No,No,No,4,Several days,Several days,More than half the days,More than half the days
5251,07/05/2020 00:05,week 6,5,7,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Sometimes,Always,Always,Always,Sometimes,Always,Sometimes,Rarely, ,Always,Always,Always,Always,Frequently,Always,Not at all,Frequently,Sometimes,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.913306147,Female,27,Hefei,2,Yes,No,No,No,No,No,No,4,Several days,Several days,Several days,Several days
5252,07/05/2020 00:06,week 6,3,0,0,"No, I have not",Not sure,No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Rarely,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Not at all,Not at all,Frequently,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.058882264,Female,53,Chongqing,4,No,No,No,No,No,Yes,No,6,Not at all,Several days,Not at all,Several days
5253,07/05/2020 00:06,week 6,4,6,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Frequently,Frequently,Always,Not at all,Rarely,Rarely,Rarely,Rarely, ,Sometimes,Not at all,Not at all,Not at all,Rarely,Rarely,Frequently,Always,Frequently,Rarely,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.939758022,Male,28,Yuncheng,4,Yes,No,No,No,No,No,No,1,More than half the days,Prefer not to say,Several days,Several days
5254,07/05/2020 00:06,week 6,3,1,1,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Sometimes,Frequently,Always,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.083556439,Male,50,Changsha,4,Yes,No,No,No,No,No,No,6,Several days,Not at all,Several days,Not at all
5255,07/05/2020 00:07,week 6,3,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Frequently,Sometimes,Frequently,Always,Frequently,Sometimes,Frequently,Frequently, ,Sometimes,Sometimes,Frequently,Always,Always,Sometimes,Always,Frequently,Frequently,Rarely,6,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.878273054,Female,21,Hefei,4,Yes,No,No,No,No,No,No,4,Several days,Several days,Several days,Several days
5256,07/05/2020 00:08,week 6,4,10,2,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.054496067,Male,35,Wuhan,5,Yes,No,No,No,No,No,No,7,Several days,Several days,Several days,Several days
5257,07/05/2020 00:08,week 6,3,6,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Always,Frequently,Not at all,Not at all,Always,Not at all,Not at all,Not at all,Frequently,Sometimes,Not at all,Rarely,Always,Frequently,4,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,1,1.03618404,Female,41,Huainan,4,Yes,No,No,No,No,No,No,5,Several days,Not at all,Several days,Several days
5258,07/05/2020 00:08,week 6,3,10,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Frequently,Always,Not at all,Always,Always,Frequently,Frequently,Frequently,Rarely,Frequently,Frequently,Rarely,Frequently,Frequently,Frequently,Frequently,Frequently,Not at all,Rarely,Frequently,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.074573282,Male,34,Shenzhen,3,Yes,No,No,No,No,No,No,5,More than half the days,Several days,More than half the days,More than half the days
5259,07/05/2020 00:08,week 6,2,8,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Frequently,Always,Always, , ,Always,Frequently,Always,Always,Always,Always,Always,Rarely,Sometimes,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.925328195,Female,22,Jinan,3,No,No,No,No,Yes,No,No,7,More than half the days,Several days,Nearly every day,More than half the days
5260,07/05/2020 00:08,week 6,4,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Rarely,Sometimes,Sometimes,Always,Always,Frequently,Sometimes,Rarely,Rarely,Sometimes,Sometimes,3,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.939758022,Male,33,Xinxiang,5,Yes,No,No,No,No,No,No,5,Not at all,Not at all,Several days,Several days
5261,07/05/2020 00:08,week 6,2,2,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.10740273,Male,48,Huzhou,3,Yes,No,No,No,No,No,No,6,Not at all,Not at all,Not at all,Not at all
5262,07/05/2020 00:08,week 6,2,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,Frequently,Always,Sometimes,Sometimes,Frequently,Rarely,Not at all,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,3,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.981204166,Female,26,Fuzhou -  Fujian,5,Yes,No,No,No,No,No,No,8,More than half the days,More than half the days,Several days,Several days
5263,07/05/2020 00:09,week 6,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Rarely,Always,Always,Always,Frequently,Always,Sometimes,Always, ,Frequently,Always,Always,Always,Always,Sometimes,Always,Rarely,Sometimes,Always,2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.897601585,Female,20,Suzhou -  Jiangsu,5,Yes,No,No,No,No,No,No,7,Nearly every day,Several days,Several days,Several days
5264,07/05/2020 00:09,week 6,3,6,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Always,Always,Frequently,Frequently,Frequently,Always,Sometimes,Rarely,Always,Frequently,Frequently,Always,Frequently,Sometimes,Sometimes,Frequently,Frequently,Always,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.939758022,Male,28,Fuyang -  Anhui,3,Yes,No,No,No,No,No,No,6,Not at all,Several days,Several days,Not at all
5265,07/05/2020 00:10,week 6,0,0,0, , , , , , , , , , , , ,Not sure,Not sure,Not sure,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes, ,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Prefer not to say,1.147033259,Male,35,Shanghai,Prefer not to say,Yes,No,No,No,No,No,No,0,More than half the days,More than half the days,More than half the days,More than half the days
5266,07/05/2020 00:10,week 6,3,2,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Always,No,No,No,Somewhat easy,Very willing,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently, ,Frequently,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.967561135,Female,25,Baoding,6,No,Yes,No,No,No,No,No,5,Several days,Several days,Several days,Several days
5267,07/05/2020 00:10,week 6,2,15,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Frequently,Always,Frequently,Always,Always,Not at all,Always,Rarely,Not at all,Rarely,Always,Frequently,Frequently,Frequently,Always,Always,Not at all,Not at all,Rarely,Sometimes,1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.021442904,Male,39,Kunming,3,Yes,No,No,No,No,No,No,7,Not at all,Not at all,Not at all,Not at all
5268,07/05/2020 00:10,week 6,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Sometimes,Frequently,Rarely,Frequently,Not at all,Frequently,Not at all,Frequently, , ,Rarely,Sometimes,Sometimes,Sometimes,Always,Rarely,Sometimes,Sometimes,Rarely,Sometimes,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.913306147,Female,25,Taiyuan,4,No,No,No,No,No,No,Yes,6,Several days,Several days,Several days,Several days
5269,07/05/2020 00:10,week 6,1,20,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Somewhat willing,Always,Rarely,Frequently,Always,Always,Frequently,Always,Rarely,Rarely, ,Frequently,Frequently,Always,Always,Always,Frequently,Frequently,Sometimes,Frequently,Always,4,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to say,1.050103666,Female,28,Guangzhou,2,Yes,No,No,No,No,No,No,6,Not at all,Several days,Several days,Several days
5270,07/05/2020 00:11,week 6,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.878273054,Female,20,Chengdu,2,No,Yes,Yes,No,No,No,No,4,Several days,Several days,Several days,Not at all
5271,07/05/2020 00:11,week 6,3,10,1,"Yes, and I tested negative","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Somewhat willing,Always,Frequently,Frequently,Always,Frequently,Sometimes,Frequently,Always,Sometimes,Always,Frequently,Frequently,Always,Always,Frequently,Sometimes,Always,Rarely,Rarely,Sometimes,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.928270684,Female,25,Ningbo,4,Yes,No,No,No,No,No,No,6,More than half the days,Not at all,Several days,Not at all
5272,07/05/2020 00:11,week 6,4,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,15,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.045825291,Male,69,Quanzhou,4,Yes,No,No,No,No,No,No,6,Not at all,Not at all,Not at all,Not at all
5273,07/05/2020 00:11,week 6,0,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Not at all,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely, , ,Sometimes,Rarely,Not at all,Not at all,Rarely,Sometimes,Not at all,Rarely,Rarely,Rarely,1, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Don't know,0.939758022,Male,28,Anyang,7,No,No,No,No,Yes,No,No,2,More than half the days,More than half the days,More than half the days,More than half the days
5274,07/05/2020 00:11,week 6,3,2,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Not at all,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Not at all,Not at all,Sometimes,Sometimes,1,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,1,1.077702814,Male,35,Suzhou -  Jiangsu,4,Yes,No,No,No,No,No,No,4,Several days,Several days,More than half the days,More than half the days
5275,07/05/2020 00:11,week 6,2,3,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Sometimes,Frequently,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes, ,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,5,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to say,0.949901336,Male,30,Ningbo,3,Yes,No,No,No,No,No,No,7,Several days,Several days,Several days,Several days
5276,07/05/2020 00:11,week 6,5,3,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Frequently, , ,Sometimes,Always,Frequently,Frequently,Always,Frequently,Sometimes,Sometimes,Sometimes,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,0,0.970894906,Male,21,Zhanjiang,5,No,No,Yes,No,No,No,No,6,Several days,Prefer not to say,Several days,Prefer not to say
5277,07/05/2020 00:12,week 6,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat unwilling,Sometimes,Frequently,Frequently,Frequently,Sometimes,Always,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Rarely,Sometimes,Frequently,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.939758022,Male,27,Mianyang,7,No,No,Yes,No,No,No,No,7,Several days,More than half the days,More than half the days,Several days
5278,07/05/2020 00:12,week 6,3,3,3,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Always,Always,Always,Sometimes,Always,Frequently,Always, ,Sometimes,Frequently,Always,Always,Frequently,Sometimes,Sometimes,Not at all,Always,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.989405664,Male,55,Taizhou(??-Jiangsu province),4,Yes,Yes,No,No,No,No,No,7,Several days,Several days,Several days,Several days
5279,07/05/2020 00:12,week 6,4,21,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Frequently,Frequently,Frequently,Sometimes,Sometimes,Always,Frequently,Always,Rarely,Sometimes,Rarely,Frequently,Always,Always,Frequently,Sometimes,Not at all,Sometimes,Frequently,Sometimes,5,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.984660419,Male,34,Haerbin,5,Yes,No,No,No,No,No,No,5,Several days,Several days,Several days,Several days
5280,07/05/2020 00:14,week 6,1,0,5,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Somewhat willing,Frequently,Frequently,Always,Always,Rarely,Rarely,Always,Frequently,Not at all, ,Always,Always,Always,Always,Always,Frequently,Frequently,Not at all,Sometimes,Frequently,5,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,1.101310531,Male,46,Hangzhou,5,Yes,No,No,No,No,No,No,6,Not at all,Not at all,Not at all,Not at all
5281,07/05/2020 00:14,week 6,2,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Sometimes,Not at all,Frequently,Not at all,Rarely,Not at all,Sometimes,Rarely, ,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Not at all,Rarely,Not at all,2,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.970894906,Male,21,Putian,5,No,Yes,Yes,No,No,No,No,6,Several days,Several days,Several days,Not at all
5282,07/05/2020 00:14,week 6,2,20,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Frequently,Frequently,Always,Frequently,Always,Sometimes,Sometimes,Always, , ,Frequently,Not at all,Frequently,Always,Always,Rarely,Always,Sometimes,Always,Always,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,0.855449718,Female,22,Qujing,3,No,No,Yes,No,No,No,No,5,Not at all,Several days,Several days,Not at all
5283,07/05/2020 00:15,week 6,3,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Frequently,Always,Always,Sometimes,Frequently,Always,Not at all,Always,Always,Frequently,Frequently,Frequently,Always,Frequently,Not at all,Not at all,Frequently,Always,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,0.967561135,Female,34,Binzhou,4,Yes,No,No,No,No,No,No,5,Not at all,Not at all,Not at all,Not at all
5284,07/05/2020 00:16,week 6,3,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Somewhat willing,Always,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Frequently,Sometimes,Sometimes, ,Frequently,Rarely,Rarely,Sometimes,Frequently,Not at all,Not at all,Frequently,Always,Rarely,3,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.949901336,Male,26,Nanjing,4,Yes,No,No,No,No,No,No,4,Not at all,Several days,Several days,Several days
5285,07/05/2020 00:17,week 6,2,3,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,1.091699561,Female,44,Hegang,3,No,Yes,No,No,No,No,No,3,More than half the days,Several days,Several days,More than half the days
5286,07/05/2020 00:17,week 6,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Very willing,Always,Frequently,Always,Frequently,Always,Rarely,Always,Always,Not at all, ,Frequently,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Always,Rarely,Frequently,Frequently,2,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,??,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,0,1.009622556,Male,27,Jiangmen,3,Yes,No,No,No,No,No,No,4,Not at all,Several days,Not at all,Not at all
5287,07/05/2020 00:17,week 6,2,0,1,"No, I have not","Yes, and they tested positive",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Frequently,Always,Always,Always,Always,Always, ,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Sometimes,Always,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.88313146,Female,22,Xinyang,3,No,No,Yes,No,No,No,No,5,Nearly every day,More than half the days,More than half the days,Several days
5288,07/05/2020 00:18,week 6,3,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Rarely,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.96687544,Female,56,Wenzhou,4,No,No,Yes,No,No,No,No,2,More than half the days,Not at all,Not at all,Nearly every day
5289,07/05/2020 00:18,week 6,3,8,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Neither easy nor difficult,Somewhat willing,Always,Frequently,Sometimes,Frequently,Rarely,Rarely,Rarely,Sometimes, , ,Frequently,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Always,Rarely,Frequently,Sometimes,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0.898738656,Male,21,Nanchang,4,No,No,Yes,No,No,No,No,6,Not at all,Not at all,Several days,Not at all
5290,07/05/2020 00:18,week 6,4,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Not at all,Frequently,Frequently,Frequently,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0.990107336,Male,25,Xingtai,4,Yes,No,No,No,No,No,No,7,More than half the days,Prefer not to say,Not at all,More than half the days
